ID,default
4855329,1
66862420,1
3637416,1
53682249,1
53937165,1
1464149,1
7429943,0
10047245,1
46816125,1
57125517,1
72220005,1
1685505,1
69564228,1
17271765,0
64781812,1
69613874,1
49413301,0
9317570,0
59750027,1
17663598,1
8096827,1
27629054,1
50237117,1
12033920,0
54586579,1
36745137,1
11639545,1
31076856,1
1964086,1
11963639,1
53835369,0
55347334,1
33078853,1
14699227,0
61007183,1
54506052,0
71230781,0
26487698,1
65972205,1
52405511,1
49843095,1
42053870,0
72139148,0
4150220,0
9827026,1
58809375,1
46233594,0
10428246,0
20026663,0
38801152,1
54886368,1
406800,1
24674767,1
67139064,1
63890503,1
8749082,1
22430548,0
66115943,1
51925107,1
618799,1
73425164,0
27849989,1
27268965,1
63435101,1
26386787,0
67169666,0
31097860,1
69594568,0
49643881,1
1219608,1
11557648,0
59651619,0
5484060,1
1672306,1
53342588,0
1061953,0
1489506,1
57641926,1
72141070,0
14980764,0
781070,0
53353374,1
14608612,0
37776687,0
53722767,1
64313925,1
1651464,0
53512140,0
39910768,0
15398825,0
70237253,0
5196889,1
2843447,0
46676680,1
37056026,0
35955130,0
70416469,1
24604468,0
1613120,1
48033792,1
47112788,1
25956266,0
45231727,0
8577311,1
31127586,0
70308962,1
1971490,0
59611415,1
24674932,0
558407,1
8299426,0
14618641,1
15058234,1
1852699,1
2835802,1
11964311,1
17533274,1
10309523,1
43816523,1
4224509,1
693433,1
45670002,0
10352489,0
49789034,1
55318014,1
19635403,0
824415,1
59739987,0
67527654,1
26238829,0
42534684,1
33299330,1
67811455,1
42484407,1
49684161,1
17031772,0
1786308,1
42662757,0
9110379,1
1029137,1
16580732,1
6329687,1
23412347,1
55026039,0
11786981,0
67729946,0
2732315,0
1645039,1
10716976,1
38860659,1
11639346,0
49820721,1
6999808,0
71156520,0
16230191,0
8735885,1
19075103,1
67781542,1
58005176,1
55215837,1
52467895,1
3921433,1
35984807,1
43876833,1
22330363,1
63018725,1
44787149,1
43316360,0
59651473,0
72808391,0
12587175,0
38428821,1
43304908,1
52616089,0
69011912,0
45789882,1
63018775,0
68359508,1
67729075,1
6737636,1
67585931,1
52135074,1
46757171,1
59612450,1
7837498,1
68498292,1
58882973,1
14848351,0
41298772,0
50166828,1
2827517,0
16180053,1
11866758,1
46536193,0
68630862,1
3864906,1
15129729,1
68468216,0
1693594,0
59569986,1
1788581,0
59449758,1
12806832,1
14411456,1
24595984,0
19445555,1
47132051,1
737047,0
30035016,0
6387226,1
66362846,1
1856637,1
70329959,0
64535955,1
4173526,1
49431906,0
1345813,1
7818496,0
2425350,1
8178412,1
63335552,1
43997108,0
1998236,1
53383403,1
1457717,0
1795742,1
21260053,1
44314990,1
29382574,0
17503331,1
37395992,1
1825580,1
14658091,1
54825940,1
54149116,0
67728714,1
37476375,1
65471032,1
2696919,1
58640666,0
58883138,0
65882255,0
49780284,1
63201294,1
53976358,0
9947382,1
69182483,1
24494502,0
1700511,0
39172714,0
4073647,0
9076830,1
59560779,0
41482351,0
48269891,0
37638282,1
70631591,0
12567016,1
61036916,1
41353149,1
970539,1
21329821,1
12032681,1
3188784,1
485987,1
65507278,1
56319072,0
3870915,1
13837193,0
21729213,0
64577074,0
9410847,0
14488062,1
56711939,1
29883558,1
38439464,0
38148372,0
70394903,1
442444,1
15369861,1
4126928,1
64826046,0
43642091,1
70100274,0
32127726,1
1033298,0
14677376,0
56540145,1
37005128,0
5807659,1
11718043,1
3979815,0
2629876,1
59804353,1
29002280,1
67781599,1
11963059,1
61417077,1
47844858,1
64576582,1
58809192,1
59730235,0
41421556,1
14709627,0
53412868,1
61953862,1
1730647,1
64864815,1
32699004,0
65013194,1
9044311,1
51176329,0
8135788,0
34601704,0
989672,1
881327,1
65658135,1
37147196,0
67869141,1
23011999,0
16370380,1
8647349,1
23593984,0
5147096,0
66482531,0
14507994,0
69555599,0
23112544,1
9004611,1
1577866,1
58871129,1
71131045,1
16562306,1
42576052,1
46537064,1
49993468,1
8709282,1
9049234,1
31066804,1
43306854,1
57926387,1
467936,1
54007545,1
16672474,0
17933330,1
13908374,1
43427874,1
31267001,1
2838263,0
4723097,0
11717819,1
1708776,1
10438535,0
32128230,0
6276842,0
67958254,1
71260027,1
20738053,1
42233420,0
55317108,0
64586424,1
40593718,1
53795258,0
44194911,0
52305053,1
60989534,0
42513617,1
64805365,0
38962620,1
37907808,0
47132305,1
70751045,1
65872249,0
31035599,1
61844601,1
26316699,1
46757333,1
44025908,1
19305216,1
17281879,1
62970627,1
64924008,1
51573173,1
7637090,1
69524908,1
60103420,1
5197097,1
66474537,1
13927022,0
59612485,1
631638,0
7222273,1
1509840,0
53875031,1
21669268,1
39172012,1
1627357,1
1606914,1
31346739,0
49942449,0
34180992,1
65569995,1
65578300,0
21330063,1
9957244,1
32327580,1
49202542,0
53732231,0
58125080,0
14587799,1
1792019,1
64982540,1
40522836,1
15560041,1
32287168,1
16572039,1
4629000,1
68369312,0
